Pheugopedius spadix,
Troglodytes monticola,
Sitta solangiae,
Sitta insularis,
Saxicola macrorhynchus,
Myophonus blighi,
Myophonus horsfieldii,
Myophonus robinsoni,
Cichladusa ruficauda,
Cossypha heinrichi,
Eumyias sordidus,
Niltava sumatrana,
Cyornis oscillans,
Cyornis hoevelli,
Cyornis sanfordi,
Cyornis ruckii,
Cyornis hyacinthinus,
Cyornis nicobaricus,
Cyornis sumatrensis,
Cyornis montanus,
Ficedula henrici,
Muscicapa segregata,
Muscicapa randi,
Muscicapa epulata,
Muscicapa williamsoni,
Melaenornis annamarulae,
Copsychus albiventris,
Cyornis brunneatus,
Vauriella albigularis,
Turdus ignobilis,
Turdus ravidus,
Turdus murinus,
Cochoa beccarii,
Cochoa azurea,
Zoothera aurea,
Zoothera heinrichi,
Zoothera margaretae,
Zoothera neilgherriensis,
Zoothera turipavae,
Zoothera imbricata,
Zoothera machiki,
Zoothera terrestris,
Zoothera everetti,
Zoothera major,
Zoothera atrigena,
Myadestes lanaiensis,
Myadestes myadestinus,
Geokichla leucolaema,
Geokichla joiceyi,
Geokichla dumasi,
Cataponera turdoides,
Onychognathus neumanni,
Sturnia blythii,
Gracula enganensis,
Gracula robusta,
Streptocitta albertinae,
Basilornis corythaix,
Basilornis galeatus,
Aplonis feadensis,
Aplonis magna,
Aplonis mysolensis,
Aplonis fusca,
Aplonis atrifusca,
Aplonis mavornata,
Aplonis zelandica,
Aplonis santovestris,
Aplonis opaca,
Aplonis crassa,
Aplonis striata,
Aplonis dichroa,
Aplonis corvina,
Aplonis ulietensis,
Rhabdornis grandis,
Rhabdornis rabori,
Necropsar rodericanus,
Moho apicalis,
Moho braccatus,
Hedydipna metallica,
Hedydipna pallidigaster,
Cinnyris pembae,
Cinnyris habessinicus,
Cinnyris rockefelleri,
Cinnyris nectarinioides,
Cinnyris congensis,
Cinnyris lotenius,
Cinnyris oustaleti,
Cinnyris neergaardi,
Cinnyris johannae,
Cinnyris buettikoferi,
Cinnyris prigoginei,
Cinnyris chalcomelas,
Cinnyris tsavoensis,
Leptocoma calcostetha,
Leptocoma minima,
