taxonomic_order,species_code,taxon_concept_id,primary_com_name,sci_name,genus,family,add.to,do.not.break,notes,needs.statement,fix.add.to,fix.do.not.break
2,ostric2,avibase-2247CB05,Common Ostrich,Struthio_camelus,Struthio,Struthionidae (Ostriches),,,,,,
7,ostric3,avibase-40329BB6,Somali Ostrich,Struthio_molybdophanes,Struthio,Struthionidae (Ostriches),Struthio,,only one possible answer,,,
10,soucas1,avibase-8B9D93D8,Southern Cassowary,Casuarius_casuarius,Casuarius,Casuariidae (Cassowaries and Emu),,,,,,
11,dwacas1,avibase-7751E0D1,Dwarf Cassowary,Casuarius_bennetti,Casuarius,Casuariidae (Cassowaries and Emu),,,,,,
12,norcas1,avibase-32E7303B,Northern Cassowary,Casuarius_unappendiculatus,Casuarius,Casuariidae (Cassowaries and Emu),Casuarius_bennetti,,"according to Naish, D., and R. Perron (2014). Structure and function of the Cassowary's casque and its implications for Cassowary History, Biology and evolution. Historical Biology 28(4):507–518 as cited in BOW, Southern is sister to Dwarf+Northern",,,
13,emu1,avibase-FD2456D5,Emu,Dromaius_novaehollandiae,Dromaius,Casuariidae (Cassowaries and Emu),,,,,,
19,sobkiw1,avibase-6BA55EF0,Southern Brown Kiwi,Apteryx_australis,Apteryx,Apterygidae (Kiwis),,,,,,
22,okbkiw1,avibase-D433BDAB,Okarito Brown Kiwi,Apteryx_rowi,Apteryx,Apterygidae (Kiwis),,,,,,
23,nibkiw1,avibase-DB55CB8C,North Island Brown Kiwi,Apteryx_mantelli,Apteryx,Apterygidae (Kiwis),,,,,,
24,liskiw1,avibase-187706CF,Little Spotted Kiwi,Apteryx_owenii,Apteryx,Apterygidae (Kiwis),,,,,,
26,grskiw1,avibase-0D8B9E40,Great Spotted Kiwi,Apteryx_maxima,Apteryx,Apterygidae (Kiwis),,,,,,
29,grerhe1,avibase-00986B24,Greater Rhea,Rhea_americana,Rhea,Rheidae (Rheas),,,,,,
35,lesrhe2,avibase-590ADF92,Lesser Rhea,Rhea_pennata,Rhea,Rheidae (Rheas),,,,,,
41,tabtin1,avibase-5FB99321,Tawny-breasted Tinamou,Nothocercus_julius,Nothocercus,Tinamidae (Tinamous),,,,,,
42,higtin1,avibase-66C31E09,Highland Tinamou,Nothocercus_bonapartei,Nothocercus,Tinamidae (Tinamous),,,,,,
49,hootin1,avibase-68E763AE,Hooded Tinamou,Nothocercus_nigrocapillus,Nothocercus,Tinamidae (Tinamous),,,,,,
52,grytin1,avibase-346D16D5,Gray Tinamou,Tinamus_tao,Tinamus,Tinamidae (Tinamous),,,,,,
57,soltin1,avibase-67E5E0FA,Solitary Tinamou,Tinamus_solitarius,Tinamus,Tinamidae (Tinamous),,,,,,
58,blatin1,avibase-63C5F122,Black Tinamou,Tinamus_osgoodi,Tinamus,Tinamidae (Tinamous),,,,,,
61,gretin1,avibase-42D72AE1,Great Tinamou,Tinamus_major,Tinamus,Tinamidae (Tinamous),,,,,,
74,whttin1,avibase-0480B7C9,White-throated Tinamou,Tinamus_guttatus,Tinamus,Tinamidae (Tinamous),,,,,,
76,cintin1,avibase-7C90F8DB,Cinereous Tinamou,Crypturellus_cinereus,Crypturellus,Tinamidae (Tinamous),,,,,,
77,bertin1,avibase-9B036853,Berlepsch's Tinamou,Crypturellus_berlepschi,Crypturellus,Tinamidae (Tinamous),,,,,,
78,littin1,avibase-39DD9DD7,Little Tinamou,Crypturellus_soui,Crypturellus,Tinamidae (Tinamous),,,,,,
93,teptin1,avibase-F5F9A63F,Tepui Tinamou,Crypturellus_ptaritepui,Crypturellus,Tinamidae (Tinamous),,,,,,
94,brotin1,avibase-D624C373,Brown Tinamou,Crypturellus_obsoletus,Crypturellus,Tinamidae (Tinamous),,,,,,
105,undtin1,avibase-7A600A0F,Undulated Tinamou,Crypturellus_undulatus,Crypturellus,Tinamidae (Tinamous),,,,,,
112,pabtin1,avibase-D303E7FF,Pale-browed Tinamou,Crypturellus_transfasciatus,Crypturellus,Tinamidae (Tinamous),,,,,,
113,bratin1,avibase-FE2B5A6B,Brazilian Tinamou,Crypturellus_strigulosus,Crypturellus,Tinamidae (Tinamous),,,,,,
114,gyltin1,avibase-D2592D39,Gray-legged Tinamou,Crypturellus_duidae,Crypturellus,Tinamidae (Tinamous),,,,,,
115,reltin1,avibase-4E03F38D,Red-legged Tinamou,Crypturellus_erythropus,Crypturellus,Tinamidae (Tinamous),,,,,,
123,yeltin1,avibase-7507BE36,Yellow-legged Tinamou,Crypturellus_noctivagus,Crypturellus,Tinamidae (Tinamous),,,,,,
126,blctin1,avibase-41631439,Black-capped Tinamou,Crypturellus_atrocapillus,Crypturellus,Tinamidae (Tinamous),,,,,,
129,slbtin1,avibase-5183B60E,Slaty-breasted Tinamou,Crypturellus_boucardi,Crypturellus,Tinamidae (Tinamous),,,,,,
132,chotin1,avibase-2ED97B54,Choco Tinamou,Crypturellus_kerriae,Crypturellus,Tinamidae (Tinamous),,,,,,
133,vartin1,avibase-F8BBC7A7,Variegated Tinamou,Crypturellus_variegatus,Crypturellus,Tinamidae (Tinamous),,,,,,
134,thitin1,avibase-AAB5CEED,Thicket Tinamou,Crypturellus_cinnamomeus,Crypturellus,Tinamidae (Tinamous),,,,,,
145,rustin1,avibase-45EE168A,Rusty Tinamou,Crypturellus_brevirostris,Crypturellus,Tinamidae (Tinamous),,,,,,
146,bartin2,avibase-88B9ABC1,Bartlett's Tinamou,Crypturellus_bartletti,Crypturellus,Tinamidae (Tinamous),,,,,,
147,smbtin1,avibase-2988DEC6,Small-billed Tinamou,Crypturellus_parvirostris,Crypturellus,Tinamidae (Tinamous),,,,,,
148,bartin1,avibase-26D1CE28,Barred Tinamou,Crypturellus_casiquiare,Crypturellus,Tinamidae (Tinamous),,,,,,
149,tattin1,avibase-9C7F2C57,Tataupa Tinamou,Crypturellus_tataupa,Crypturellus,Tinamidae (Tinamous),,,,,,
155,rewtin1,avibase-C141F60A,Red-winged Tinamou,Rhynchotus_rufescens,Rhynchotus,Tinamidae (Tinamous),,,,,,
159,huatin1,avibase-94AF5DC7,Huayco Tinamou,Rhynchotus_maculicollis,Rhynchotus,Tinamidae (Tinamous),,,,,,
160,tactin1,avibase-368EC295,Taczanowski's Tinamou,Nothoprocta_taczanowskii,Nothoprocta,Tinamidae (Tinamous),,,,,,
161,orntin1,avibase-286A2FBA,Ornate Tinamou,Nothoprocta_ornata,Nothoprocta,Tinamidae (Tinamous),,,,,,
165,chitin1,avibase-F900EE88,Chilean Tinamou,Nothoprocta_perdicaria,Nothoprocta,Tinamidae (Tinamous),,,,,,
168,brutin1,avibase-4C8BCEC2,Brushland Tinamou,Nothoprocta_cinerascens,Nothoprocta,Tinamidae (Tinamous),,,,,,
171,andtin1,avibase-7A66539A,Andean Tinamou,Nothoprocta_pentlandii,Nothoprocta,Tinamidae (Tinamous),,,,,,
180,cubtin1,avibase-F68CA24D,Curve-billed Tinamou,Nothoprocta_curvirostris,Nothoprocta,Tinamidae (Tinamous),,,,,,
184,whbnot1,avibase-458340C7,White-bellied Nothura,Nothura_boraquira,Nothura,Tinamidae (Tinamous),,,,,,
185,lesnot1,avibase-99D7964C,Lesser Nothura,Nothura_minor,Nothura,Tinamidae (Tinamous),,,,,,
