Polioptila maior,
Pheugopedius spadix,
Troglodytes musculus,
Troglodytes monticola,
Sitta solangiae,
Sitta insularis,
Saxicola macrorhynchus,
Monticola erythronotus,
Myophonus blighi,
Myophonus horsfieldii,
Myophonus robinsoni,
Sheppardia poensis,
Cichladusa ruficauda,
Stiphrornis pyrrholaemus,
Stiphrornis mabirae,
Cossypha heinrichi,
Eumyias sordidus,
Niltava sumatrana,
Eumyias hoevelli,
Eumyias sanfordi,
Cyornis ruckii,
Eumyias hyacinthinus,
Cyornis nicobaricus,
Cyornis sumatrensis,
Cyornis montanus,
Ficedula henrici,
Brachypteryx poliogyna,
Muscicapa segregata,
Muscicapa randi,
Muscicapa epulata,
Muscicapa williamsoni,
Melaenornis annamarulae,
Copsychus stricklandii,
Copsychus albiventris,
Cyornis brunneatus,
Vauriella albigularis,
Turdus ignobilis,
Turdus ravidus,
Turdus erythropleurus,
Turdus javanicus,
Turdus mindorensis,
Turdus murinus,
Turdus nigrorum,
Cochoa beccarii,
Cochoa azurea,
Zoothera aurea,
Zoothera heinrichi,
Zoothera margaretae,
Zoothera neilgherriensis,
Zoothera turipavae,
Zoothera imbricata,
Zoothera machiki,
Zoothera terrestris,
Zoothera everetti,
Zoothera major,
Zoothera atrigena,
Myadestes lanaiensis,
Myadestes myadestinus,
Geokichla leucolaema,
Geokichla joiceyi,
Geokichla dumasi,
Turdus turdoides,
Onychognathus neumanni,
Sturnia blythii,
Streptocitta albertinae,
Basilornis corythaix,
Basilornis galeatus,
Aplonis feadensis,
Aplonis magna,
Aplonis mysolensis,
Aplonis fusca,
Aplonis atrifusca,
Aplonis mavornata,
Aplonis zelandica,
Aplonis santovestris,
Aplonis opaca,
Aplonis crassa,
Aplonis striata,
Aplonis dichroa,
Aplonis corvina,
Aplonis ulietensis,
Rhabdornis grandis,
Rhabdornis rabori,
Necropsar rodericanus,
Moho apicalis,
Moho braccatus,
Hedydipna metallica,
Hedydipna pallidigaster,
Cinnyris pembae,
Cinnyris habessinicus,
Cinnyris rockefelleri,
Cinnyris nectarinioides,
Cinnyris congensis,
Cinnyris lotenius,
Cinnyris oustaleti,
Cinnyris neergaardi,
Cinnyris johannae,
Cinnyris buettikoferi,
Cinnyris prigoginei,
Cinnyris chalcomelas,
Cinnyris tsavoensis,
Leptocoma calcostetha,
Leptocoma minima,
Leptocoma brasiliana,
Aethopyga vigorsii,
Aethopyga mystacalis,
Aethopyga eximia,
Aethopyga tibolii,
Anthreptes aurantius,
Dicaeum haematostictum,
Pachyglossa propria,
Dicaeum trochileum,
Dicaeum virescens,
Dicaeum annae,
Dicaeum maugei,
Dicaeum erythrothorax,
Pachyglossa vincens,
Dicaeum schistaceiceps,
Dicaeum nehrkorni,
Dicaeum vulneratum,
Dicaeum retrocinctum,
Dicaeum nitidum,
Dicaeum quadricolor,
Dicaeum hanieli,
Dicaeum kampalili,
Dicaeum dayakorum,
Dicaeum beccarii,
Dicaeum luzoniense,
Nectarinia bocagii,
Erythrura pealii,
Erythrura kleinschmidti,
Erythrura viridifacies,
Estrilda nigriloris,
Estrilda rufibarba,
Glaucestrilda thomensis,
Estrilda kandti,
Estrilda poliopareia,
Brunhilda charmosyna,
Coccopygia bocagei,
Lonchura ferruginosa,
Padda fuscata,
Lonchura hunsteini,
Lonchura forbesi,
Lonchura melaena,
Lonchura nigerrima,
Vidua nigeriae,
Vidua larvaticola,
Vidua codringtoni,
Vidua maryae,
Vidua togoensis,
Paludipasser locustella,
Foudia delloni,
Malimbus ballmanni,
Ploceus princeps,
Ploceus aureonucha,
Ploceus nigrimentus,
Pseudonigrita cabanisi,
Plocepasser donaldsoni,
Plocepasser superciliosus,
Plocepasser rufoscapulatus,
Melopyrrha grandis,
Sporophila bouvronides,
Sporophila ardesiaca,
Sporophila pileata,
Sporophila beltoni,
Sporophila morelleti,
Dacnis berlepschi,
Poospiza nigrorufa,
Embernagra longicauda,
Sicalis mendozae,
Stilpnia peruviana,
Poecilostreptus cabanisi,
Thraupis glaucocolpa,
Incaspiza watkinsi,
Incaspiza laeta,
Saltator grandis,
Saltator olivascens,
Conothraupis mesoleuca,
Nemosia rourei,
Chlorothraupis frenata,
Driophlox cristata,
Cyanoloxia rothschildii,
Amaurospiza aequatorialis,
Bangsia flavovirens,
Melozone cabanisi,
Pipilo naufragus,
Atlapetes melanolaemus,
Atlapetes crassus,
Atlapetes blancae,
Junco bairdi,
Arremon torquatus,
Myiothlypis chlorophrys,
Basileuterus delattrii,
Basileuterus melanotis,
Agelaioides fringillarius,
Teretistris fornsi,
Spindalis portoricensis,
Spindalis nigricephala,
Linaria yemenensis,
Linaria johannis,
Loxia sinesciuris,
Crithagra rothschildi,
Crithagra symonsi,
Crithagra donaldsoni,
Crithagra koliensis,
Crithagra leucoptera,
Crithagra menachensis,
Crithagra ankoberensis,
Crithagra tristriata,
Crithagra buchanani,
Crithagra flavigula,
Crithagra xantholaema,
Crithagra xanthopygia,
Crithagra canicapilla,
Crithagra reichenowi,
Crithagra frontalis,
Crithagra melanochroa,
Serinus nigriceps,
Rhynchostruthus louisae,
Rhynchostruthus percivali,
Carpodacus sillemi,
Pyrrhula owstoni,
Himatione fraithii,
Hemignathus lucidus,
Hemignathus affinis,
Hemignathus hanapepe,
Loxops ochraceus,
Loxops wolstenholmei,
Paroreomyza maculata,
Paroreomyza flammea,
Crithagra concolor,
Fringilla polatzeki,
Fringilla maderensis,
