taxonomic_order,species_code,taxon_concept_id,primary_com_name,sci_name,genus,family,add.to,do.not.break,notes,ETM.manual.fix,MJI suggested fix
2,ostric2,avibase-2247CB05,Common Ostrich,Struthio_camelus,Struthio,Struthionidae (Ostriches),,,,,
7,ostric3,avibase-40329BB6,Somali Ostrich,Struthio_molybdophanes,Struthio,Struthionidae (Ostriches),Struthio,,only one possible answer,,
10,soucas1,avibase-8B9D93D8,Southern Cassowary,Casuarius_casuarius,Casuarius,Casuariidae (Cassowaries and Emu),,,,,
11,dwacas1,avibase-7751E0D1,Dwarf Cassowary,Casuarius_bennetti,Casuarius,Casuariidae (Cassowaries and Emu),,,,,
14,norcas1,avibase-32E7303B,Northern Cassowary,Casuarius_unappendiculatus,Casuarius,Casuariidae (Cassowaries and Emu),"Casuarius_unappendiculatus, Casuarius_bennetti",,"according to Naish, D., and R. Perron (2014). Structure and function of the Cassowary's casque and its implications for Cassowary History, Biology and evolution. Historical Biology 28(4):507–518 as cited in BOW, Southern is sister to Dwarf+Northern",,
15,emu1,avibase-FD2456D5,Emu,Dromaius_novaehollandiae,Dromaius,Casuariidae (Cassowaries and Emu),,,,,
21,sobkiw1,avibase-6BA55EF0,Southern Brown Kiwi,Apteryx_australis,Apteryx,Apterygidae (Kiwis),,,,,
24,okbkiw1,avibase-D433BDAB,Okarito Brown Kiwi,Apteryx_rowi,Apteryx,Apterygidae (Kiwis),,,,,
25,nibkiw1,avibase-DB55CB8C,North Island Brown Kiwi,Apteryx_mantelli,Apteryx,Apterygidae (Kiwis),,,,,
27,liskiw1,avibase-187706CF,Little Spotted Kiwi,Apteryx_owenii,Apteryx,Apterygidae (Kiwis),,,,,
29,grskiw1,avibase-0D8B9E40,Great Spotted Kiwi,Apteryx_maxima,Apteryx,Apterygidae (Kiwis),,,,,
32,grerhe1,avibase-00986B24,Greater Rhea,Rhea_americana,Rhea,Rheidae (Rheas),,,,,
38,lesrhe2,avibase-590ADF92,Lesser Rhea,Rhea_pennata,Rhea,Rheidae (Rheas),,,,,
44,puntin1,avibase-0A51B426,Puna Tinamou,Tinamotis_pentlandii,Tinamotis,Tinamidae (Tinamous),,,,,
45,pattin1,avibase-EC451D91,Patagonian Tinamou,Tinamotis_ingoufi,Tinamotis,Tinamidae (Tinamous),,,,,
46,quctin1,avibase-9337459C,Quebracho Crested-Tinamou,Eudromia_formosa,Eudromia,Tinamidae (Tinamous),,,,,
49,elctin1,avibase-4E215E82,Elegant Crested-Tinamou,Eudromia_elegans,Eudromia,Tinamidae (Tinamous),,,,,
62,dwatin1,avibase-B62C4561,Dwarf Tinamou,Taoniscus_nanus,Taoniscus,Tinamidae (Tinamous),,,,,
63,whbnot1,avibase-458340C7,White-bellied Nothura,Nothura_boraquira,Nothura,Tinamidae (Tinamous),,,,,
64,lesnot1,avibase-99D7964C,Lesser Nothura,Nothura_minor,Nothura,Tinamidae (Tinamous),,,,,
65,darnot1,avibase-F7D16275,Darwin's Nothura,Nothura_darwinii,Nothura,Tinamidae (Tinamous),,,,,
71,sponot1,avibase-03C3DDFB,Spotted Nothura,Nothura_maculosa,Nothura,Tinamidae (Tinamous),,,,,
84,huatin1,avibase-94AF5DC7,Huayco Tinamou,Rhynchotus_maculicollis,Rhynchotus,Tinamidae (Tinamous),,,,,
85,rewtin1,avibase-C141F60A,Red-winged Tinamou,Rhynchotus_rufescens,Rhynchotus,Tinamidae (Tinamous),,,,,
89,brutin1,avibase-4C8BCEC2,Brushland Tinamou,Nothoprocta_cinerascens,Nothoprocta,Tinamidae (Tinamous),,,,,
92,andtin1,avibase-7A66539A,Andean Tinamou,Nothoprocta_pentlandii,Nothoprocta,Tinamidae (Tinamous),,,,,
103,cubtin1,avibase-F68CA24D,Curve-billed Tinamou,Nothoprocta_curvirostris,Nothoprocta,Tinamidae (Tinamous),,,,,
106,orntin1,avibase-286A2FBA,Ornate Tinamou,Nothoprocta_ornata,Nothoprocta,Tinamidae (Tinamous),,,,,
110,tactin1,avibase-368EC295,Taczanowski's Tinamou,Nothoprocta_taczanowskii,Nothoprocta,Tinamidae (Tinamous),,,,,
111,chitin1,avibase-F900EE88,Chilean Tinamou,Nothoprocta_perdicaria,Nothoprocta,Tinamidae (Tinamous),,,,,
115,tabtin1,avibase-5FB99321,Tawny-breasted Tinamou,Nothocercus_julius,Nothocercus,Tinamidae (Tinamous),,,,,
116,hootin1,avibase-68E763AE,Hooded Tinamou,Nothocercus_nigrocapillus,Nothocercus,Tinamidae (Tinamous),,,,,
119,higtin1,avibase-66C31E09,Highland Tinamou,Nothocercus_bonapartei,Nothocercus,Tinamidae (Tinamous),,,,,
126,gretin1,avibase-42D72AE1,Great Tinamou,Tinamus_major,Tinamus,Tinamidae (Tinamous),,,,,
139,soltin1,avibase-67E5E0FA,Solitary Tinamou,Tinamus_solitarius,Tinamus,Tinamidae (Tinamous),,,,,
140,grytin1,avibase-346D16D5,Gray Tinamou,Tinamus_tao,Tinamus,Tinamidae (Tinamous),,,,,
145,whttin1,avibase-0480B7C9,White-throated Tinamou,Tinamus_guttatus,Tinamus,Tinamidae (Tinamous),,,,,
146,blatin1,avibase-63C5F122,Black Tinamou,Tinamus_osgoodi,Tinamus,Tinamidae (Tinamous),,,,,
150,bertin1,avibase-9B036853,Berlepsch's Tinamou,Crypturellus_berlepschi,Crypturellus,Tinamidae (Tinamous),,,,,
151,cintin1,avibase-7C90F8DB,Cinereous Tinamou,Crypturellus_cinereus,Crypturellus,Tinamidae (Tinamous),,,,,
152,teptin1,avibase-F5F9A63F,Tepui Tinamou,Crypturellus_ptaritepui,Crypturellus,Tinamidae (Tinamous),,,,,
153,smbtin1,avibase-2988DEC6,Small-billed Tinamou,Crypturellus_parvirostris,Crypturellus,Tinamidae (Tinamous),,,,,
154,tattin1,avibase-9C7F2C57,Tataupa Tinamou,Crypturellus_tataupa,Crypturellus,Tinamidae (Tinamous),,,,,
159,brotin1,avibase-D624C373,Brown Tinamou,Crypturellus_obsoletus,Crypturellus,Tinamidae (Tinamous),,,,,
170,vartin1,avibase-F8BBC7A7,Variegated Tinamou,Crypturellus_variegatus,Crypturellus,Tinamidae (Tinamous),,,,,
171,bartin2,avibase-88B9ABC1,Bartlett's Tinamou,Crypturellus_bartletti,Crypturellus,Tinamidae (Tinamous),,,,,
172,bartin1,avibase-26D1CE28,Barred Tinamou,Crypturellus_casiquiare,Crypturellus,Tinamidae (Tinamous),,,,,
173,rustin1,avibase-45EE168A,Rusty Tinamou,Crypturellus_brevirostris,Crypturellus,Tinamidae (Tinamous),,,,,
174,littin1,avibase-39DD9DD7,Little Tinamou,Crypturellus_soui,Crypturellus,Tinamidae (Tinamous),,,,,
189,undtin1,avibase-7A600A0F,Undulated Tinamou,Crypturellus_undulatus,Crypturellus,Tinamidae (Tinamous),,,,,
196,yeltin1,avibase-7507BE36,Yellow-legged Tinamou,Crypturellus_noctivagus,Crypturellus,Tinamidae (Tinamous),,,,,
199,blctin1,avibase-41631439,Black-capped Tinamou,Crypturellus_atrocapillus,Crypturellus,Tinamidae (Tinamous),,,,,
202,pabtin1,avibase-D303E7FF,Pale-browed Tinamou,Crypturellus_transfasciatus,Crypturellus,Tinamidae (Tinamous),,,,,
