ID	num_scaff_leaves	num_synth_leaves	num_splits	num_informative_input_trees	num_noninformative_overlapping_input_trees	inf_tree_ids	noninf_tree_ids
ott1003842	2	5	0	0	11		tree_ot_2072@tree2.tre,tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_2018@tree8.tre,tree_ot_1543@tree2.tre,tree_ot_425@tree1.tre,tree_pg_2804@tree6511.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1006783	5	7	20	6	5	tree_ot_2015@tree5.tre,tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_2197@tree2.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2312@tree1.tre,tree_ot_2765@tree1.tre,tree_ot_290@tree1.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1007196	2	8	0	0	15		tree_ot_2748@tree4.tre,tree_ot_2312@tree1.tre,tree_ot_2765@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_1195@tree1.tre,tree_ot_531@tree1.tre,tree_pg_2913@tree6742.tre,tree_ot_172@tree1.tre,tree_ot_854@tree1.tre,tree_ot_782@Tr48736.tre,tree_pg_2404@tree5068.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1009865	5	7	2	1	4	tree_ot_2879@tree1.tre	tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1009866	2	2	0	0	8		tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_2154@tree1.tre,tree_ot_148@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1010418	3	3	2	1	12	tree_ot_2182@tree1.tre	tree_ot_2019@tree38.tre,tree_ot_2019@tree12.tre,tree_ot_2312@tree1.tre,tree_ot_2765@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_2179@tree1.tre,tree_ot_111@tree1.tre,tree_pg_2105@tree4360.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1010435	4	4	12	4	9	tree_ot_2879@tree1.tre,tree_ot_103@tree4.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2019@tree12.tre,tree_ot_2312@tree1.tre,tree_ot_2765@tree1.tre,tree_ot_1195@tree1.tre,tree_ot_290@tree1.tre,tree_ot_854@tree1.tre,tree_ot_841@tree1.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1010549	5	6	4	2	4	tree_ot_2879@tree1.tre,tree_ot_809@tree2.tre	tree_ot_531@tree1.tre,tree_ot_521@tree1.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1010556	13	41	65	9	5	tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_2017@tree1.tre,tree_ot_504@tree3.tre,tree_pg_2913@tree6741.tre,tree_pg_1766@tree3561.tre,tree_ot_794@tree2.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2018@tree8.tre,tree_ot_500@tree1.tre,tree_ot_159@tree1.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1010568	2	4	0	0	4		tree_ot_2879@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1010577	3	10	0	0	11		tree_ot_2072@tree2.tre,tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_2018@tree8.tre,tree_ot_1543@tree2.tre,tree_ot_425@tree1.tre,tree_pg_2804@tree6511.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1010888	6	15	15	5	6	tree_ot_2231@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_1170@tree2.tre,tree_ot_1170@tree3.tre,tree_ot_521@tree1.tre	tree_ot_2386@tree1.tre,tree_ot_290@tree1.tre,tree_ot_832@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1010960	2	2	0	0	7		tree_ot_2108@tree1.tre,tree_ot_2879@tree1.tre,tree_pg_2872@tree6665.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1012083	7	8	18	3	8	tree_ot_2015@tree5.tre,tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre	tree_ot_2013@tree8.tre,tree_ot_2018@tree8.tre,tree_ot_500@tree1.tre,tree_ot_531@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1012091	2	2	0	0	8		tree_ot_2015@tree5.tre,tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_290@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott101233	3	3	4	2	4	tree_ot_2879@tree1.tre,tree_pg_2853@tree6624.tre	tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1013346	3	3	4	2	5	tree_ot_2222@tree1.tre,tree_ot_2879@tree1.tre	tree_ot_290@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1014289	3	4	10	5	3	tree_ot_2141@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_144@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_3077@tree1.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1014898	2	2	0	0	7		tree_ot_2108@tree1.tre,tree_ot_2879@tree1.tre,tree_pg_2872@tree6665.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1015202	7	11	18	3	11	tree_ot_2879@tree1.tre,tree_ot_2090@tree1.tre,tree_pg_2870@tree6662.tre	tree_ot_3077@tree1.tre,tree_ot_2018@tree8.tre,tree_ot_1055@tree1.tre,tree_ot_500@tree1.tre,tree_ot_531@tree1.tre,tree_pg_2913@tree6741.tre,tree_pg_2871@tree6663.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1015948	2	5	0	0	9		tree_ot_2879@tree1.tre,tree_ot_290@tree1.tre,tree_ot_531@tree1.tre,tree_ot_869@tree1.tre,tree_pg_2404@tree5068.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1019789	2	2	0	0	7		tree_ot_2222@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_1195@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1019856	2	2	0	0	10		tree_ot_2015@tree5.tre,tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_2197@tree2.tre,tree_ot_290@tree1.tre,tree_pg_1953@tree3977.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1020129	9	14	34	6	5	tree_ot_2145@tree2.tre,tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_1968@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2018@tree8.tre,tree_ot_1055@tree1.tre,tree_pg_2805@tree6512.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1020133	228	736	1405	24	2	tree_ot_2145@tree2.tre,tree_ot_2312@tree1.tre,tree_ot_2307@tree3.tre,tree_ot_2765@tree1.tre,tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_2018@tree8.tre,tree_ot_1968@tree1.tre,tree_ot_1055@tree1.tre,tree_ot_313@tree2.tre,tree_ot_312@tree1.tre,tree_ot_500@tree1.tre,tree_ot_531@tree1.tre,tree_pg_2913@tree6741.tre,tree_ot_166@tree1.tre,tree_ot_165@tree1.tre,tree_ot_160@tree1.tre,tree_pg_2806@tree6529.tre,tree_pg_2805@tree6512.tre,tree_pg_1979@tree6300.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY	tree_ot_2083@tree1.tre,tree_ot_214@tree1.tre
ott1020136	13	19	62	10	2	tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_2017@tree1.tre,tree_ot_504@tree3.tre,tree_pg_1766@tree3561.tre,tree_ot_158@tree1.tre,tree_ot_794@tree2.tre,tree_ot_159@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2770@tree1.tre,TAXONOMY
ott1020138	123	362	652	14	6	tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_2018@tree8.tre,tree_ot_1055@tree1.tre,tree_ot_2017@tree1.tre,tree_ot_504@tree3.tre,tree_pg_2913@tree6741.tre,tree_pg_1766@tree3561.tre,tree_ot_794@tree2.tre,tree_ot_159@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY	tree_ot_2312@tree1.tre,tree_ot_2307@tree3.tre,tree_ot_2765@tree1.tre,tree_ot_500@tree1.tre,tree_ot_531@tree1.tre,tree_ot_214@tree1.tre
ott1023129	2	2	0	0	6		tree_ot_2879@tree1.tre,tree_ot_500@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1023196	4	4	9	3	5	tree_ot_2015@tree5.tre,tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre	tree_ot_290@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott102473	9	9	17	5	5	tree_ot_2167@tree2.tre,tree_ot_2234@tree5.tre,tree_ot_2879@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_290@tree1.tre,tree_pg_2913@tree6742.tre,tree_ot_2019@tree15.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1025661	2	4	0	0	7		tree_ot_2108@tree1.tre,tree_ot_2879@tree1.tre,tree_pg_2872@tree6665.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1025756	2	2	0	0	10		tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_2017@tree1.tre,tree_ot_504@tree3.tre,tree_pg_1766@tree3561.tre,tree_ot_794@tree2.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott102710	3	20	12	6	6	tree_ot_2879@tree1.tre,tree_ot_753@tree1.tre,tree_ot_425@tree1.tre,tree_pg_2804@tree6511.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2072@tree2.tre,tree_ot_3077@tree1.tre,tree_ot_2018@tree8.tre,tree_ot_1002@tree1.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott102718	2	20	0	0	15		tree_ot_2312@tree1.tre,tree_ot_2307@tree3.tre,tree_ot_2072@tree2.tre,tree_ot_2765@tree1.tre,tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_2018@tree8.tre,tree_ot_753@tree1.tre,tree_ot_425@tree1.tre,tree_ot_1002@tree1.tre,tree_pg_2804@tree6511.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
